,momentum_126d,olps_rmr,xgboost_trend,hmm_garch
2009-10-12,0.00438636964853667,0.00438636964853667,0.0,0.0
2009-10-13,-0.0027876120046986808,-0.0027876120046986808,0.0,0.0
2009-10-14,0.0175458950913443,0.0175458950913443,0.0,0.0
2009-10-15,0.004157468710554335,0.004157468710554335,0.0,0.0
2009-10-16,-0.008098056110305896,-0.008098056110305896,0.0,0.0
2009-10-19,0.009405321384581278,0.009405321384581278,0.0,0.0
2009-10-20,-0.006239104637617676,-0.006239104637617676,0.0,0.0
2009-10-21,-0.008853806079326398,-0.008853806079326398,0.0,0.0
2009-10-22,0.010643618925255227,0.010643618925255227,0.0,0.0
2009-10-23,-0.012178549173757158,-0.012178549173757158,0.0,0.0
2009-10-26,-0.01171732558366989,-0.01171732558366989,0.0,0.0
2009-10-27,-0.0033177910438061398,-0.0033177910438061398,0.0,0.0
2009-10-28,-0.019540937765275768,-0.019540937765275768,0.0,0.0
2009-10-29,0.02251995469034007,0.02251995469034007,0.0,0.0
2009-10-30,-0.02806468784310845,-0.02806468784310845,0.0,0.0
2009-11-02,0.006456406503505763,0.006456406503505763,0.0,0.0
2009-11-03,0.0024260023061419833,0.0024260023061419833,0.0,0.0
2009-11-04,0.0010426203926459099,0.0010426203926459099,0.0,0.0
2009-11-05,0.01923555172748448,0.01923555172748448,0.0,0.0
2009-11-06,0.0025032522365671106,0.0025032522365671106,0.0,0.0
2009-11-09,0.022238760067974983,0.022238760067974983,0.0,0.0
2009-11-10,-6.399009393143196e-05,-6.399009393143196e-05,0.0,0.0
2009-11-11,0.005031975874749239,0.005031975874749239,0.0,0.0
2009-11-12,-0.010259368991689555,-0.010259368991689555,0.0,0.0
2009-11-13,0.0057392942592462415,0.0057392942592462415,0.0,0.0
2009-11-16,0.014467634197192325,0.014467634197192325,0.0,0.0
2009-11-17,0.0009194063067201608,0.0009194063067201608,0.0,0.0
2009-11-18,-0.00046824112515952976,-0.00046824112515952976,0.0,0.0
2009-11-19,-0.013425863902056911,-0.013425863902056911,0.0,0.0
2009-11-20,-0.00321492323752004,-0.00321492323752004,0.0,0.0
2009-11-23,0.013615775701478094,0.013615775701478094,0.0,0.0
2009-11-24,-0.0005333072620051782,-0.0005333072620051782,0.0,0.0
2009-11-25,0.004504120073066664,0.004504120073066664,0.0,0.0
2009-11-27,-0.017233475202623416,-0.017233475202623416,0.0,0.0
2009-11-30,0.003792993692547375,0.003792993692547375,0.0,0.0
2009-12-01,0.012075226499629332,0.012075226499629332,0.0,0.0
